,bases_sequenced,File_name,Proportion_genome_covered_10x,primerset
1,11901,1130935-A_S1_L001_MTBH37RV.fasta.sam.bam,0,1130935
2,12197692,1130935-A_S1_L001_MTBH37RV.fasta.sam.bam,3.83E-05,1130935
3,24354072,1130935-A_S1_L001_MTBH37RV.fasta.sam.bam,0.000122406,1130935
4,36531347,1130935-A_S1_L001_MTBH37RV.fasta.sam.bam,0.000157768,1130935
5,48689194,1130935-A_S1_L001_MTBH37RV.fasta.sam.bam,0.000173863,1130935
6,60836643,1130935-A_S1_L001_MTBH37RV.fasta.sam.bam,0.000178623,1130935
7,73032537,1130935-A_S1_L001_MTBH37RV.fasta.sam.bam,0.000189957,1130935
8,85184998,1130935-A_S1_L001_MTBH37RV.fasta.sam.bam,0.000226452,1130935
9,11657,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0,1130935
10,11858969,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,2.09E-05,1130935
11,23714291,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,7.21E-05,1130935
12,35575062,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.000117646,1130935
13,47437771,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.000192677,1130935
14,59287340,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.000193584,1130935
15,71098508,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.000270428,1130935
16,82992900,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.000303069,1130935
17,94841344,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.000333218,1130935
18,106678681,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.00036994,1130935
19,118576942,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.000433636,1130935
20,130394179,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.000447237,1130935
21,142268846,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.00051456,1130935
22,154126750,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.00062314,1130935
23,165972283,1130935-B_S13_L001_MTBH37RV.fasta.sam.bam,0.000701117,1130935
24,11965,1130935-C_S25_L001_MTBH37RV.fasta.sam.bam,0,1130935
25,12012412,1130935-C_S25_L001_MTBH37RV.fasta.sam.bam,3.29E-05,1130935
26,24060494,1130935-C_S25_L001_MTBH37RV.fasta.sam.bam,5.80E-05,1130935
27,36062254,1130935-C_S25_L001_MTBH37RV.fasta.sam.bam,0.000111073,1130935
28,48089287,1130935-C_S25_L001_MTBH37RV.fasta.sam.bam,0.000128073,1130935
29,60085753,1130935-C_S25_L001_MTBH37RV.fasta.sam.bam,0.000178169,1130935
30,72101731,1130935-C_S25_L001_MTBH37RV.fasta.sam.bam,0.000169556,1130935
31,84126709,1130935-C_S25_L001_MTBH37RV.fasta.sam.bam,0.000220785,1130935
32,96141621,1130935-C_S25_L001_MTBH37RV.fasta.sam.bam,0.00024504,1130935
33,11496,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,0,1236643
34,12241235,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,5.71E-05,1236643
35,24463636,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,0.000354525,1236643
36,36645241,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,0.000683663,1236643
37,48860222,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,0.001243106,1236643
38,61079294,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,0.001555469,1236643
39,73309161,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,0.001980944,1236643
40,85517104,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,0.002333656,1236643
41,97718286,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,0.00289786,1236643
42,109939531,1236643-A_S2_L001_MTBH37RV.fasta.sam.bam,0.003411287,1236643
43,11790,1236643-B_S14_L001_MTBH37RV.fasta.sam.bam,0,1236643
44,12122197,1236643-B_S14_L001_MTBH37RV.fasta.sam.bam,0.00025388,1236643
45,24235395,1236643-B_S14_L001_MTBH37RV.fasta.sam.bam,0.000806976,1236643
46,36328411,1236643-B_S14_L001_MTBH37RV.fasta.sam.bam,0.001331284,1236643
47,48469400,1236643-B_S14_L001_MTBH37RV.fasta.sam.bam,0.001884153,1236643
