,Bases_sequenced,BamFile,Proportion_Genome_At_10x,primerset
1,11825,WbD-20-sg-1_S2_L001.Fg_only.bam,0,WbD
2,11979724,WbD-20-sg-1_S2_L001.Fg_only.bam,0.023844794,WbD
3,23958982,WbD-20-sg-1_S2_L001.Fg_only.bam,0.128695627,WbD
4,35899714,WbD-20-sg-1_S2_L001.Fg_only.bam,0.258002559,WbD
5,47885319,WbD-20-sg-1_S2_L001.Fg_only.bam,0.377665088,WbD
6,59875988,WbD-20-sg-1_S2_L001.Fg_only.bam,0.478282544,WbD
7,71831876,WbD-20-sg-1_S2_L001.Fg_only.bam,0.566064197,WbD
8,83788112,WbD-20-sg-1_S2_L001.Fg_only.bam,0.640610925,WbD
9,95829513,WbD-20-sg-1_S2_L001.Fg_only.bam,0.701757873,WbD
10,107759948,WbD-20-sg-1_S2_L001.Fg_only.bam,0.754414402,WbD
11,119682397,WbD-20-sg-1_S2_L001.Fg_only.bam,0.792325494,WbD
12,131620843,WbD-20-sg-1_S2_L001.Fg_only.bam,0.826767536,WbD
13,143680632,WbD-20-sg-1_S2_L001.Fg_only.bam,0.851834148,WbD
14,155629561,WbD-20-sg-1_S2_L001.Fg_only.bam,0.876389632,WbD
15,167590395,WbD-20-sg-1_S2_L001.Fg_only.bam,0.89324742,WbD
16,179567793,WbD-20-sg-1_S2_L001.Fg_only.bam,0.907915556,WbD
17,191497202,WbD-20-sg-1_S2_L001.Fg_only.bam,0.920545488,WbD
18,203480398,WbD-20-sg-1_S2_L001.Fg_only.bam,0.929603039,WbD
19,215505911,WbD-20-sg-1_S2_L001.Fg_only.bam,0.9377109,WbD
20,227485327,WbD-20-sg-1_S2_L001.Fg_only.bam,0.946020688,WbD
21,239397341,WbD-20-sg-1_S2_L001.Fg_only.bam,0.950986842,WbD
22,251408836,WbD-20-sg-1_S2_L001.Fg_only.bam,0.954933892,WbD
23,263296681,WbD-20-sg-1_S2_L001.Fg_only.bam,0.959842465,WbD
24,275313782,WbD-20-sg-1_S2_L001.Fg_only.bam,0.963856562,WbD
25,287333359,WbD-20-sg-1_S2_L001.Fg_only.bam,0.966976972,WbD
26,299259819,WbD-20-sg-1_S2_L001.Fg_only.bam,0.970058732,WbD
27,311119494,WbD-20-sg-1_S2_L001.Fg_only.bam,0.971961268,WbD
28,323293935,WbD-20-sg-1_S2_L001.Fg_only.bam,0.973762051,WbD
29,335181459,WbD-20-sg-1_S2_L001.Fg_only.bam,0.976160728,WbD
30,347141165,WbD-20-sg-1_S2_L001.Fg_only.bam,0.97801988,WbD
31,359190673,WbD-20-sg-1_S2_L001.Fg_only.bam,0.979224346,WbD
32,371063506,WbD-20-sg-1_S2_L001.Fg_only.bam,0.979414442,WbD
33,383061752,WbD-20-sg-1_S2_L001.Fg_only.bam,0.981206548,WbD
34,395029409,WbD-20-sg-1_S2_L001.Fg_only.bam,0.98193538,WbD
35,407064126,WbD-20-sg-1_S2_L001.Fg_only.bam,0.983251852,WbD
36,418963850,WbD-20-sg-1_S2_L001.Fg_only.bam,0.984234671,WbD
37,430900735,WbD-20-sg-1_S2_L001.Fg_only.bam,0.985072355,WbD
38,442955078,WbD-20-sg-1_S2_L001.Fg_only.bam,0.985958154,WbD
39,454909425,WbD-20-sg-1_S2_L001.Fg_only.bam,0.987203636,WbD
40,466879482,WbD-20-sg-1_S2_L001.Fg_only.bam,0.987227299,WbD
41,478770816,WbD-20-sg-1_S2_L001.Fg_only.bam,0.987820461,WbD
42,490765035,WbD-20-sg-1_S2_L001.Fg_only.bam,0.988282686,WbD
43,502790474,WbD-20-sg-1_S2_L001.Fg_only.bam,0.989032815,WbD
44,514717934,WbD-20-sg-1_S2_L001.Fg_only.bam,0.989342805,WbD
45,526706896,WbD-20-sg-1_S2_L001.Fg_only.bam,0.990149726,WbD
46,538684030,WbD-20-sg-1_S2_L001.Fg_only.bam,0.98989495,WbD
47,550649471,WbD-20-sg-1_S2_L001.Fg_only.bam,0.990601697,WbD
48,562648977,WbD-20-sg-1_S2_L001.Fg_only.bam,0.991220099,WbD
49,574543416,WbD-20-sg-1_S2_L001.Fg_only.bam,0.991061555,WbD
50,586540876,WbD-20-sg-1_S2_L001.Fg_only.bam,0.991823515,WbD
51,598469929,WbD-20-sg-1_S2_L001.Fg_only.bam,0.991515892,WbD
52,610528266,WbD-20-sg-1_S2_L001.Fg_only.bam,0.991944987,WbD
53,622430879,WbD-20-sg-1_S2_L001.Fg_only.bam,0.992365407,WbD
54,634440379,WbD-20-sg-1_S2_L001.Fg_only.bam,0.992681707,WbD
55,646417249,WbD-20-sg-1_S2_L001.Fg_only.bam,0.992948314,WbD
56,658420533,WbD-20-sg-1_S2_L001.Fg_only.bam,0.993193625,WbD
57,670380261,WbD-20-sg-1_S2_L001.Fg_only.bam,0.993402651,WbD
58,682321353,WbD-20-sg-1_S2_L001.Fg_only.bam,0.993632975,WbD
59,694317626,WbD-20-sg-1_S2_L001.Fg_only.bam,0.993789153,WbD
60,706249249,WbD-20-sg-1_S2_L001.Fg_only.bam,0.99397215,WbD
61,718220862,WbD-20-sg-1_S2_L001.Fg_only.bam,0.994190642,WbD
62,730202417,WbD-20-sg-1_S2_L001.Fg_only.bam,0.994348397,WbD
63,12381,WbD-20-sg-2_S3_L001.Fg_only.bam,0,WbD
64,12283514,WbD-20-sg-2_S3_L001.Fg_only.bam,0.100236476,WbD
65,24608287,WbD-20-sg-2_S3_L001.Fg_only.bam,0.321858174,WbD
66,36874425,WbD-20-sg-2_S3_L001.Fg_only.bam,0.509154571,WbD
67,49181002,WbD-20-sg-2_S3_L001.Fg_only.bam,0.644459379,WbD
68,61530263,WbD-20-sg-2_S3_L001.Fg_only.bam,0.745572977,WbD
69,73804800,WbD-20-sg-2_S3_L001.Fg_only.bam,0.815245839,WbD
70,86048377,WbD-20-sg-2_S3_L001.Fg_only.bam,0.862917284,WbD
71,98415267,WbD-20-sg-2_S3_L001.Fg_only.bam,0.896042853,WbD
72,110686510,WbD-20-sg-2_S3_L001.Fg_only.bam,0.920849168,WbD
73,122999780,WbD-20-sg-2_S3_L001.Fg_only.bam,0.936784873,WbD
74,135290993,WbD-20-sg-2_S3_L001.Fg_only.bam,0.950489122,WbD
75,147561421,WbD-20-sg-2_S3_L001.Fg_only.bam,0.957805837,WbD
76,159979020,WbD-20-sg-2_S3_L001.Fg_only.bam,0.96455542,WbD
77,172211308,WbD-20-sg-2_S3_L001.Fg_only.bam,0.970961096,WbD
78,184512100,WbD-20-sg-2_S3_L001.Fg_only.bam,0.973784925,WbD
79,196783725,WbD-20-sg-2_S3_L001.Fg_only.bam,0.977021286,WbD
80,209112443,WbD-20-sg-2_S3_L001.Fg_only.bam,0.980719083,WbD
81,221390648,WbD-20-sg-2_S3_L001.Fg_only.bam,0.981037749,WbD
82,233683738,WbD-20-sg-2_S3_L001.Fg_only.bam,0.983378846,WbD
83,245876581,WbD-20-sg-2_S3_L001.Fg_only.bam,0.985851669,WbD
84,258355841,WbD-20-sg-2_S3_L001.Fg_only.bam,0.987032471,WbD
85,270569751,WbD-20-sg-2_S3_L001.Fg_only.bam,0.988252712,WbD
86,282782001,WbD-20-sg-2_S3_L001.Fg_only.bam,0.988702316,WbD
87,295124152,WbD-20-sg-2_S3_L001.Fg_only.bam,0.990144205,WbD
88,307488700,WbD-20-sg-2_S3_L001.Fg_only.bam,0.9901797,WbD
89,319759827,WbD-20-sg-2_S3_L001.Fg_only.bam,0.990716858,WbD
90,332102860,WbD-20-sg-2_S3_L001.Fg_only.bam,0.991623165,WbD
91,344374648,WbD-20-sg-2_S3_L001.Fg_only.bam,0.992062515,WbD
92,356702370,WbD-20-sg-2_S3_L001.Fg_only.bam,0.992713258,WbD
93,368957336,WbD-20-sg-2_S3_L001.Fg_only.bam,0.993600635,WbD
94,381239023,WbD-20-sg-2_S3_L001.Fg_only.bam,0.994263998,WbD
95,393567223,WbD-20-sg-2_S3_L001.Fg_only.bam,0.994222193,WbD
96,405891173,WbD-20-sg-2_S3_L001.Fg_only.bam,0.99414016,WbD
97,418139961,WbD-20-sg-2_S3_L001.Fg_only.bam,0.995110358,WbD
98,430465189,WbD-20-sg-2_S3_L001.Fg_only.bam,0.994962856,WbD
99,442842875,WbD-20-sg-2_S3_L001.Fg_only.bam,0.995670391,WbD
100,455049004,WbD-20-sg-2_S3_L001.Fg_only.bam,0.995406939,WbD
101,467288198,WbD-20-sg-2_S3_L001.Fg_only.bam,0.996090811,WbD
102,479679750,WbD-20-sg-2_S3_L001.Fg_only.bam,0.996103431,WbD
103,491911269,WbD-20-sg-2_S3_L001.Fg_only.bam,0.99651123,WbD
104,504215743,WbD-20-sg-2_S3_L001.Fg_only.bam,0.996862237,WbD
105,516540106,WbD-20-sg-2_S3_L001.Fg_only.bam,0.996587741,WbD
106,528817376,WbD-20-sg-2_S3_L001.Fg_only.bam,0.99714462,WbD
107,541188028,WbD-20-sg-2_S3_L001.Fg_only.bam,0.997378887,WbD
108,553395877,WbD-20-sg-2_S3_L001.Fg_only.bam,0.997354435,WbD
109,565751933,WbD-20-sg-2_S3_L001.Fg_only.bam,0.997647861,WbD
110,578006511,WbD-20-sg-2_S3_L001.Fg_only.bam,0.997811138,WbD
111,590369376,WbD-20-sg-2_S3_L001.Fg_only.bam,0.997568194,WbD
112,602698290,WbD-20-sg-2_S3_L001.Fg_only.bam,0.997699131,WbD
113,614918913,WbD-20-sg-2_S3_L001.Fg_only.bam,0.997888438,WbD
114,627249019,WbD-20-sg-2_S3_L001.Fg_only.bam,0.99799729,WbD
115,639534485,WbD-20-sg-2_S3_L001.Fg_only.bam,0.997893171,WbD
116,651790962,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998116395,WbD
117,664201667,WbD-20-sg-2_S3_L001.Fg_only.bam,0.99814558,WbD
118,676405558,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998230768,WbD
119,688732147,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998300181,WbD
120,701014436,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998289927,WbD
121,713277943,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998427174,WbD
122,725604989,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998529716,WbD
123,737893007,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998605438,WbD
124,750209562,WbD-20-sg-2_S3_L001.Fg_only.bam,0.99863699,WbD
125,762458511,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998595184,WbD
126,774773753,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998606227,WbD
127,787117221,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998670118,WbD
128,799390325,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998741897,WbD
129,811690228,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998703247,WbD
130,824007969,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998762406,WbD
131,836309451,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998797901,WbD
132,848575693,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998879934,WbD
133,860894031,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998892554,WbD
134,873211176,WbD-20-sg-2_S3_L001.Fg_only.bam,0.99892726,WbD
135,885492619,WbD-20-sg-2_S3_L001.Fg_only.bam,0.998941458,WbD
136,11563,WbD-20-sg-3_S4_L001.Fg_only.bam,0,WbD
137,12334283,WbD-20-sg-3_S4_L001.Fg_only.bam,0.098452258,WbD
138,24627424,WbD-20-sg-3_S4_L001.Fg_only.bam,0.317269057,WbD
139,36928692,WbD-20-sg-3_S4_L001.Fg_only.bam,0.500735931,WbD
140,49256477,WbD-20-sg-3_S4_L001.Fg_only.bam,0.638296647,WbD
141,61568722,WbD-20-sg-3_S4_L001.Fg_only.bam,0.737813757,WbD
142,73898939,WbD-20-sg-3_S4_L001.Fg_only.bam,0.809607645,WbD
